ligand_id,file_prefix,label,train_test_split,atom_count,xsize,ysize,zsize,p_atom_count1,p_atom_count2,p_xsize,p_ysize,p_zsize
1gfw,2/pdbbind2016_general_val_3dnn/1gfw,7.82,1,0,0,0,0,0,0,0,0,0
1gpy,2/pdbbind2016_general_val_3dnn/1gpy,4.7,1,0,0,0,0,0,0,0,0,0
1gsf,2/pdbbind2016_general_val_3dnn/1gsf,5.0,1,0,0,0,0,0,0,0,0,0
1gt1,2/pdbbind2016_general_val_3dnn/1gt1,6.0,1,0,0,0,0,0,0,0,0,0
1gu1,2/pdbbind2016_general_val_3dnn/1gu1,4.52,1,0,0,0,0,0,0,0,0,0
1h61,2/pdbbind2016_general_val_3dnn/1h61,4.89,1,0,0,0,0,0,0,0,0,0
1htf,2/pdbbind2016_general_val_3dnn/1htf,6.83,1,0,0,0,0,0,0,0,0,0
1hti,2/pdbbind2016_general_val_3dnn/1hti,5.13,1,0,0,0,0,0,0,0,0,0
1i43,2/pdbbind2016_general_val_3dnn/1i43,3.7,1,0,0,0,0,0,0,0,0,0
1i5d,2/pdbbind2016_general_val_3dnn/1i5d,8.0,1,0,0,0,0,0,0,0,0,0
1i7g,2/pdbbind2016_general_val_3dnn/1i7g,6.0,1,0,0,0,0,0,0,0,0,0
1i8h,2/pdbbind2016_general_val_3dnn/1i8h,4.54,1,0,0,0,0,0,0,0,0,0
1i8z,2/pdbbind2016_general_val_3dnn/1i8z,8.9,1,0,0,0,0,0,0,0,0,0
1ih0,2/pdbbind2016_general_val_3dnn/1ih0,5.0,1,0,0,0,0,0,0,0,0,0
1il3,2/pdbbind2016_general_val_3dnn/1il3,2.55,1,0,0,0,0,0,0,0,0,0
1inc,2/pdbbind2016_general_val_3dnn/1inc,9.34,1,0,0,0,0,0,0,0,0,0
1inq,2/pdbbind2016_general_val_3dnn/1inq,6.27,1,0,0,0,0,0,0,0,0,0
1iq1,2/pdbbind2016_general_val_3dnn/1iq1,7.46,1,0,0,0,0,0,0,0,0,0
1iup,2/pdbbind2016_general_val_3dnn/1iup,2.54,1,0,0,0,0,0,0,0,0,0
1j4p,2/pdbbind2016_general_val_3dnn/1j4p,4.99,1,0,0,0,0,0,0,0,0,0
1jij,2/pdbbind2016_general_val_3dnn/1jij,8.52,1,0,0,0,0,0,0,0,0,0
1jil,2/pdbbind2016_general_val_3dnn/1jil,8.4,1,0,0,0,0,0,0,0,0,0
1jiz,2/pdbbind2016_general_val_3dnn/1jiz,8.7,1,0,0,0,0,0,0,0,0,0
1jyc,2/pdbbind2016_general_val_3dnn/1jyc,4.34,1,0,0,0,0,0,0,0,0,0
1k9r,2/pdbbind2016_general_val_3dnn/1k9r,3.3,1,0,0,0,0,0,0,0,0,0
1ke3,2/pdbbind2016_general_val_3dnn/1ke3,6.7,1,0,0,0,0,0,0,0,0,0
1klg,2/pdbbind2016_general_val_3dnn/1klg,7.89,1,0,0,0,0,0,0,0,0,0
1kqb,2/pdbbind2016_general_val_3dnn/1kqb,4.0,1,0,0,0,0,0,0,0,0,0
1kv2,2/pdbbind2016_general_val_3dnn/1kv2,10.0,1,0,0,0,0,0,0,0,0,0
1kz8,2/pdbbind2016_general_val_3dnn/1kz8,6.08,1,0,0,0,0,0,0,0,0,0
1lek,2/pdbbind2016_general_val_3dnn/1lek,8.89,1,0,0,0,0,0,0,0,0,0
1lf8,2/pdbbind2016_general_val_3dnn/1lf8,5.46,1,0,0,0,0,0,0,0,0,0
1lhe,2/pdbbind2016_general_val_3dnn/1lhe,9.54,1,0,0,0,0,0,0,0,0,0
1lhg,2/pdbbind2016_general_val_3dnn/1lhg,7.1,1,0,0,0,0,0,0,0,0,0
1maw,2/pdbbind2016_general_val_3dnn/1maw,1.1,1,0,0,0,0,0,0,0,0,0
1mcz,2/pdbbind2016_general_val_3dnn/1mcz,3.0,1,0,0,0,0,0,0,0,0,0
1mm7,2/pdbbind2016_general_val_3dnn/1mm7,7.7,1,0,0,0,0,0,0,0,0,0
1mmp,2/pdbbind2016_general_val_3dnn/1mmp,6.07,1,0,0,0,0,0,0,0,0,0
1mui,2/pdbbind2016_general_val_3dnn/1mui,11.89,1,0,0,0,0,0,0,0,0,0
1mwn,2/pdbbind2016_general_val_3dnn/1mwn,6.7,1,0,0,0,0,0,0,0,0,0
1mzc,2/pdbbind2016_general_val_3dnn/1mzc,10.22,1,0,0,0,0,0,0,0,0,0
1n43,2/pdbbind2016_general_val_3dnn/1n43,10.55,1,0,0,0,0,0,0,0,0,0
1n9a,2/pdbbind2016_general_val_3dnn/1n9a,8.66,1,0,0,0,0,0,0,0,0,0
1nlp,2/pdbbind2016_general_val_3dnn/1nlp,4.96,1,0,0,0,0,0,0,0,0,0
1nmk,2/pdbbind2016_general_val_3dnn/1nmk,8.24,1,0,0,0,0,0,0,0,0,0
1npa,2/pdbbind2016_general_val_3dnn/1npa,8.7,1,0,0,0,0,0,0,0,0,0
1npz,2/pdbbind2016_general_val_3dnn/1npz,7.89,1,0,0,0,0,0,0,0,0,0
1nxy,2/pdbbind2016_general_val_3dnn/1nxy,7.19,1,0,0,0,0,0,0,0,0,0
1o2u,2/pdbbind2016_general_val_3dnn/1o2u,5.85,1,0,0,0,0,0,0,0,0,0
1o3b,2/pdbbind2016_general_val_3dnn/1o3b,7.13,1,0,0,0,0,0,0,0,0,0
1o49,2/pdbbind2016_general_val_3dnn/1o49,6.36,1,0,0,0,0,0,0,0,0,0
1o4b,2/pdbbind2016_general_val_3dnn/1o4b,5.7,1,0,0,0,0,0,0,0,0,0
1o9e,2/pdbbind2016_general_val_3dnn/1o9e,4.18,1,0,0,0,0,0,0,0,0,0
1oiq,2/pdbbind2016_general_val_3dnn/1oiq,5.54,1,0,0,0,0,0,0,0,0,0
1ok7,2/pdbbind2016_general_val_3dnn/1ok7,5.92,1,0,0,0,0,0,0,0,0,0
1oko,2/pdbbind2016_general_val_3dnn/1oko,4.54,1,0,0,0,0,0,0,0,0,0
1om2,2/pdbbind2016_general_val_3dnn/1om2,4.7,1,0,0,0,0,0,0,0,0,0
1oq5,2/pdbbind2016_general_val_3dnn/1oq5,7.68,1,0,0,0,0,0,0,0,0,0
1owj,2/pdbbind2016_general_val_3dnn/1owj,7.32,1,0,0,0,0,0,0,0,0,0
1p04,2/pdbbind2016_general_val_3dnn/1p04,7.4,1,0,0,0,0,0,0,0,0,0
1p17,2/pdbbind2016_general_val_3dnn/1p17,2.82,1,0,0,0,0,0,0,0,0,0
1p4r,2/pdbbind2016_general_val_3dnn/1p4r,8.1,1,0,0,0,0,0,0,0,0,0
1p4u,2/pdbbind2016_general_val_3dnn/1p4u,5.3,1,0,0,0,0,0,0,0,0,0
1p6d,2/pdbbind2016_general_val_3dnn/1p6d,2.94,1,0,0,0,0,0,0,0,0,0
1pbk,2/pdbbind2016_general_val_3dnn/1pbk,9.05,1,0,0,0,0,0,0,0,0,0
1pfy,2/pdbbind2016_general_val_3dnn/1pfy,8.15,1,0,0,0,0,0,0,0,0,0
1ppx,2/pdbbind2016_general_val_3dnn/1ppx,7.28,1,0,0,0,0,0,0,0,0,0
1prl,2/pdbbind2016_general_val_3dnn/1prl,4.23,1,0,0,0,0,0,0,0,0,0
1pyw,2/pdbbind2016_general_val_3dnn/1pyw,7.7,1,0,0,0,0,0,0,0,0,0
1q1y,2/pdbbind2016_general_val_3dnn/1q1y,7.7,1,0,0,0,0,0,0,0,0,0
1q41,2/pdbbind2016_general_val_3dnn/1q41,7.66,1,0,0,0,0,0,0,0,0,0
1q4k,2/pdbbind2016_general_val_3dnn/1q4k,6.55,1,0,0,0,0,0,0,0,0,0
1qja,2/pdbbind2016_general_val_3dnn/1qja,6.38,1,0,0,0,0,0,0,0,0,0
1qm4,2/pdbbind2016_general_val_3dnn/1qm4,4.3,1,0,0,0,0,0,0,0,0,0
1qpe,2/pdbbind2016_general_val_3dnn/1qpe,7.7,1,0,0,0,0,0,0,0,0,0
1qpl,2/pdbbind2016_general_val_3dnn/1qpl,8.51,1,0,0,0,0,0,0,0,0,0
1qwf,2/pdbbind2016_general_val_3dnn/1qwf,6.35,1,0,0,0,0,0,0,0,0,0
1r6z,2/pdbbind2016_general_val_3dnn/1r6z,5.0,1,0,0,0,0,0,0,0,0,0
1rbo,2/pdbbind2016_general_val_3dnn/1rbo,12.72,1,0,0,0,0,0,0,0,0,0
1rdi,2/pdbbind2016_general_val_3dnn/1rdi,2.06,1,0,0,0,0,0,0,0,0,0
1rdj,2/pdbbind2016_general_val_3dnn/1rdj,1.66,1,0,0,0,0,0,0,0,0,0
1rev,2/pdbbind2016_general_val_3dnn/1rev,7.48,1,0,0,0,0,0,0,0,0,0
1rq2,2/pdbbind2016_general_val_3dnn/1rq2,2.52,1,0,0,0,0,0,0,0,0,0
1rtl,2/pdbbind2016_general_val_3dnn/1rtl,5.59,1,0,0,0,0,0,0,0,0,0
1ru2,2/pdbbind2016_general_val_3dnn/1ru2,6.49,1,0,0,0,0,0,0,0,0,0
1rwx,2/pdbbind2016_general_val_3dnn/1rwx,7.37,1,0,0,0,0,0,0,0,0,0
1shd,2/pdbbind2016_general_val_3dnn/1shd,6.17,1,0,0,0,0,0,0,0,0,0
1sme,2/pdbbind2016_general_val_3dnn/1sme,11.22,1,0,0,0,0,0,0,0,0,0
1sqc,2/pdbbind2016_general_val_3dnn/1sqc,6.85,1,0,0,0,0,0,0,0,0,0
1svh,2/pdbbind2016_general_val_3dnn/1svh,6.44,1,0,0,0,0,0,0,0,0,0
1swi,2/pdbbind2016_general_val_3dnn/1swi,3.1,1,0,0,0,0,0,0,0,0,0
1swp,2/pdbbind2016_general_val_3dnn/1swp,11.0,1,0,0,0,0,0,0,0,0,0
1syo,2/pdbbind2016_general_val_3dnn/1syo,9.0,1,0,0,0,0,0,0,0,0,0
1t13,2/pdbbind2016_general_val_3dnn/1t13,7.38,1,0,0,0,0,0,0,0,0,0
1t29,2/pdbbind2016_general_val_3dnn/1t29,6.05,1,0,0,0,0,0,0,0,0,0
1tl1,2/pdbbind2016_general_val_3dnn/1tl1,6.42,1,0,0,0,0,0,0,0,0,0
1tl3,2/pdbbind2016_general_val_3dnn/1tl3,6.2,1,0,0,0,0,0,0,0,0,0
1tnk,2/pdbbind2016_general_val_3dnn/1tnk,1.49,1,0,0,0,0,0,0,0,0,0
1toj,2/pdbbind2016_general_val_3dnn/1toj,3.39,1,0,0,0,0,0,0,0,0,0
1tsl,2/pdbbind2016_general_val_3dnn/1tsl,6.15,1,0,0,0,0,0,0,0,0,0
1tze,2/pdbbind2016_general_val_3dnn/1tze,6.83,1,0,0,0,0,0,0,0,0,0
1u6q,2/pdbbind2016_general_val_3dnn/1u6q,5.88,1,0,0,0,0,0,0,0,0,0
1ujj,2/pdbbind2016_general_val_3dnn/1ujj,6.1,1,0,0,0,0,0,0,0,0,0
1utt,2/pdbbind2016_general_val_3dnn/1utt,4.0,1,0,0,0,0,0,0,0,0,0
1uyd,2/pdbbind2016_general_val_3dnn/1uyd,3.7,1,0,0,0,0,0,0,0,0,0
1v0m,2/pdbbind2016_general_val_3dnn/1v0m,5.1,1,0,0,0,0,0,0,0,0,0
1vik,2/pdbbind2016_general_val_3dnn/1vik,9.52,1,0,0,0,0,0,0,0,0,0
1vj5,2/pdbbind2016_general_val_3dnn/1vj5,6.92,1,0,0,0,0,0,0,0,0,0
1vru,2/pdbbind2016_general_val_3dnn/1vru,7.0,1,0,0,0,0,0,0,0,0,0
1vsn,2/pdbbind2016_general_val_3dnn/1vsn,9.7,1,0,0,0,0,0,0,0,0,0
1vwf,2/pdbbind2016_general_val_3dnn/1vwf,6.51,1,0,0,0,0,0,0,0,0,0
1w0y,2/pdbbind2016_general_val_3dnn/1w0y,6.42,1,0,0,0,0,0,0,0,0,0
1w14,2/pdbbind2016_general_val_3dnn/1w14,8.52,1,0,0,0,0,0,0,0,0,0
1w6j,2/pdbbind2016_general_val_3dnn/1w6j,8.19,1,0,0,0,0,0,0,0,0,0
1waw,2/pdbbind2016_general_val_3dnn/1waw,7.89,1,0,0,0,0,0,0,0,0,0
1wbn,2/pdbbind2016_general_val_3dnn/1wbn,6.46,1,0,0,0,0,0,0,0,0,0
1wbv,2/pdbbind2016_general_val_3dnn/1wbv,3.79,1,0,0,0,0,0,0,0,0,0
1wdq,2/pdbbind2016_general_val_3dnn/1wdq,1.98,1,0,0,0,0,0,0,0,0,0
1wok,2/pdbbind2016_general_val_3dnn/1wok,7.48,1,0,0,0,0,0,0,0,0,0
1x6u,2/pdbbind2016_general_val_3dnn/1x6u,3.22,1,0,0,0,0,0,0,0,0,0
1x7a,2/pdbbind2016_general_val_3dnn/1x7a,7.89,1,0,0,0,0,0,0,0,0,0
1x7b,2/pdbbind2016_general_val_3dnn/1x7b,8.39,1,0,0,0,0,0,0,0,0,0
1xge,2/pdbbind2016_general_val_3dnn/1xge,4.68,1,0,0,0,0,0,0,0,0,0
1xgj,2/pdbbind2016_general_val_3dnn/1xgj,6.0,1,0,0,0,0,0,0,0,0,0
1xh3,2/pdbbind2016_general_val_3dnn/1xh3,5.51,1,0,0,0,0,0,0,0,0,0
1xh6,2/pdbbind2016_general_val_3dnn/1xh6,7.32,1,0,0,0,0,0,0,0,0,0
1xmy,2/pdbbind2016_general_val_3dnn/1xmy,7.3,1,0,0,0,0,0,0,0,0,0
1xnx,2/pdbbind2016_general_val_3dnn/1xnx,6.38,1,0,0,0,0,0,0,0,0,0
1xom,2/pdbbind2016_general_val_3dnn/1xom,7.96,1,0,0,0,0,0,0,0,0,0
1xon,2/pdbbind2016_general_val_3dnn/1xon,10.68,1,0,0,0,0,0,0,0,0,0
1xoq,2/pdbbind2016_general_val_3dnn/1xoq,9.17,1,0,0,0,0,0,0,0,0,0
1xor,2/pdbbind2016_general_val_3dnn/1xor,6.41,1,0,0,0,0,0,0,0,0,0
1xoz,2/pdbbind2016_general_val_3dnn/1xoz,8.92,1,0,0,0,0,0,0,0,0,0
1xp1,2/pdbbind2016_general_val_3dnn/1xp1,9.3,1,0,0,0,0,0,0,0,0,0
1xud,2/pdbbind2016_general_val_3dnn/1xud,8.1,1,0,0,0,0,0,0,0,0,0
1y3g,2/pdbbind2016_general_val_3dnn/1y3g,7.4,1,0,0,0,0,0,0,0,0,0
1ym2,2/pdbbind2016_general_val_3dnn/1ym2,8.0,1,0,0,0,0,0,0,0,0,0
1yon,2/pdbbind2016_general_val_3dnn/1yon,4.21,1,0,0,0,0,0,0,0,0,0
1yw8,2/pdbbind2016_general_val_3dnn/1yw8,8.0,1,0,0,0,0,0,0,0,0,0
1yyr,2/pdbbind2016_general_val_3dnn/1yyr,6.29,1,0,0,0,0,0,0,0,0,0
1zaf,2/pdbbind2016_general_val_3dnn/1zaf,7.7,1,0,0,0,0,0,0,0,0,0
1zaj,2/pdbbind2016_general_val_3dnn/1zaj,5.1,1,0,0,0,0,0,0,0,0,0
1zkl,2/pdbbind2016_general_val_3dnn/1zkl,5.09,1,0,0,0,0,0,0,0,0,0
1zsb,2/pdbbind2016_general_val_3dnn/1zsb,0.6,1,0,0,0,0,0,0,0,0,0
220l,2/pdbbind2016_general_val_3dnn/220l,3.4,1,0,0,0,0,0,0,0,0,0
2a3a,2/pdbbind2016_general_val_3dnn/2a3a,2.82,1,0,0,0,0,0,0,0,0,0
2adu,2/pdbbind2016_general_val_3dnn/2adu,7.74,1,0,0,0,0,0,0,0,0,0
2aeb,2/pdbbind2016_general_val_3dnn/2aeb,8.3,1,0,0,0,0,0,0,0,0,0
2aof,2/pdbbind2016_general_val_3dnn/2aof,4.55,1,0,0,0,0,0,0,0,0,0
2aoh,2/pdbbind2016_general_val_3dnn/2aoh,4.44,1,0,0,0,0,0,0,0,0,0
2aq9,2/pdbbind2016_general_val_3dnn/2aq9,7.3,1,0,0,0,0,0,0,0,0,0
2ay4,2/pdbbind2016_general_val_3dnn/2ay4,2.91,1,0,0,0,0,0,0,0,0,0
2b1v,2/pdbbind2016_general_val_3dnn/2b1v,5.74,1,0,0,0,0,0,0,0,0,0
2be2,2/pdbbind2016_general_val_3dnn/2be2,8.7,1,0,0,0,0,0,0,0,0,0
2bgd,2/pdbbind2016_general_val_3dnn/2bgd,5.0,1,0,0,0,0,0,0,0,0,0
2bj4,2/pdbbind2016_general_val_3dnn/2bj4,4.47,1,0,0,0,0,0,0,0,0,0
2bpx,2/pdbbind2016_general_val_3dnn/2bpx,9.4,1,0,0,0,0,0,0,0,0,0
2br8,2/pdbbind2016_general_val_3dnn/2br8,7.49,1,0,0,0,0,0,0,0,0,0
2brc,2/pdbbind2016_general_val_3dnn/2brc,5.05,1,0,0,0,0,0,0,0,0,0
2c4w,2/pdbbind2016_general_val_3dnn/2c4w,4.7,1,0,0,0,0,0,0,0,0,0
2c57,2/pdbbind2016_general_val_3dnn/2c57,3.43,1,0,0,0,0,0,0,0,0,0
2c5x,2/pdbbind2016_general_val_3dnn/2c5x,6.6,1,0,0,0,0,0,0,0,0,0
2c6i,2/pdbbind2016_general_val_3dnn/2c6i,4.96,1,0,0,0,0,0,0,0,0,0
2c6n,2/pdbbind2016_general_val_3dnn/2c6n,6.88,1,0,0,0,0,0,0,0,0,0
2c8y,2/pdbbind2016_general_val_3dnn/2c8y,4.0,1,0,0,0,0,0,0,0,0,0
2c90,2/pdbbind2016_general_val_3dnn/2c90,3.48,1,0,0,0,0,0,0,0,0,0
2cgv,2/pdbbind2016_general_val_3dnn/2cgv,4.56,1,0,0,0,0,0,0,0,0,0
2co0,2/pdbbind2016_general_val_3dnn/2co0,5.48,1,0,0,0,0,0,0,0,0,0
2d06,2/pdbbind2016_general_val_3dnn/2d06,4.08,1,0,0,0,0,0,0,0,0,0
2dbl,2/pdbbind2016_general_val_3dnn/2dbl,8.7,1,0,0,0,0,0,0,0,0,0
2e95,2/pdbbind2016_general_val_3dnn/2e95,7.1,1,0,0,0,0,0,0,0,0,0
2e9a,2/pdbbind2016_general_val_3dnn/2e9a,6.04,1,0,0,0,0,0,0,0,0,0
2ea4,2/pdbbind2016_general_val_3dnn/2ea4,7.34,1,0,0,0,0,0,0,0,0,0
2euf,2/pdbbind2016_general_val_3dnn/2euf,7.82,1,0,0,0,0,0,0,0,0,0
2eum,2/pdbbind2016_general_val_3dnn/2eum,6.7,1,0,0,0,0,0,0,0,0,0
2evm,2/pdbbind2016_general_val_3dnn/2evm,6.16,1,0,0,0,0,0,0,0,0,0
2ez5,2/pdbbind2016_general_val_3dnn/2ez5,5.52,1,0,0,0,0,0,0,0,0,0
2f10,2/pdbbind2016_general_val_3dnn/2f10,3.48,1,0,0,0,0,0,0,0,0,0
2f18,2/pdbbind2016_general_val_3dnn/2f18,4.1,1,0,0,0,0,0,0,0,0,0
2f3r,2/pdbbind2016_general_val_3dnn/2f3r,6.3,1,0,0,0,0,0,0,0,0,0
2f5t,2/pdbbind2016_general_val_3dnn/2f5t,5.17,1,0,0,0,0,0,0,0,0,0
2f6z,2/pdbbind2016_general_val_3dnn/2f6z,5.32,1,0,0,0,0,0,0,0,0,0
2f70,2/pdbbind2016_general_val_3dnn/2f70,4.47,1,0,0,0,0,0,0,0,0,0
2fda,2/pdbbind2016_general_val_3dnn/2fda,6.3,1,0,0,0,0,0,0,0,0,0
2ff1,2/pdbbind2016_general_val_3dnn/2ff1,8.21,1,0,0,0,0,0,0,0,0,0
2fix,2/pdbbind2016_general_val_3dnn/2fix,6.24,1,0,0,0,0,0,0,0,0,0
2fm0,2/pdbbind2016_general_val_3dnn/2fm0,9.4,1,0,0,0,0,0,0,0,0,0
2fm2,2/pdbbind2016_general_val_3dnn/2fm2,8.15,1,0,0,0,0,0,0,0,0,0
2fm5,2/pdbbind2016_general_val_3dnn/2fm5,7.37,1,0,0,0,0,0,0,0,0,0
2foy,2/pdbbind2016_general_val_3dnn/2foy,6.92,1,0,0,0,0,0,0,0,0,0
2fs8,2/pdbbind2016_general_val_3dnn/2fs8,7.6,1,0,0,0,0,0,0,0,0,0
2fs9,2/pdbbind2016_general_val_3dnn/2fs9,8.52,1,0,0,0,0,0,0,0,0,0
2fwy,2/pdbbind2016_general_val_3dnn/2fwy,6.7,1,0,0,0,0,0,0,0,0,0
2g00,2/pdbbind2016_general_val_3dnn/2g00,9.74,1,0,0,0,0,0,0,0,0,0
2g70,2/pdbbind2016_general_val_3dnn/2g70,7.77,1,0,0,0,0,0,0,0,0,0
2g83,2/pdbbind2016_general_val_3dnn/2g83,5.92,1,0,0,0,0,0,0,0,0,0
2g8r,2/pdbbind2016_general_val_3dnn/2g8r,3.99,1,0,0,0,0,0,0,0,0,0
2gfa,2/pdbbind2016_general_val_3dnn/2gfa,4.98,1,0,0,0,0,0,0,0,0,0
2gfj,2/pdbbind2016_general_val_3dnn/2gfj,3.82,1,0,0,0,0,0,0,0,0,0
2gfs,2/pdbbind2016_general_val_3dnn/2gfs,6.15,1,0,0,0,0,0,0,0,0,0
2giu,2/pdbbind2016_general_val_3dnn/2giu,8.82,1,0,0,0,0,0,0,0,0,0
2gqn,2/pdbbind2016_general_val_3dnn/2gqn,5.35,1,0,0,0,0,0,0,0,0,0
2gv2,2/pdbbind2016_general_val_3dnn/2gv2,8.3,1,0,0,0,0,0,0,0,0,0
2h44,2/pdbbind2016_general_val_3dnn/2h44,5.77,1,0,0,0,0,0,0,0,0,0
2h8h,2/pdbbind2016_general_val_3dnn/2h8h,8.57,1,0,0,0,0,0,0,0,0,0
2hf8,2/pdbbind2016_general_val_3dnn/2hf8,5.47,1,0,0,0,0,0,0,0,0,0
2i5f,2/pdbbind2016_general_val_3dnn/2i5f,5.12,1,0,0,0,0,0,0,0,0,0
2igy,2/pdbbind2016_general_val_3dnn/2igy,6.95,1,0,0,0,0,0,0,0,0,0
2ity,2/pdbbind2016_general_val_3dnn/2ity,7.27,1,0,0,0,0,0,0,0,0,0
2iv9,2/pdbbind2016_general_val_3dnn/2iv9,4.34,1,0,0,0,0,0,0,0,0,0
2j4q,2/pdbbind2016_general_val_3dnn/2j4q,4.46,1,0,0,0,0,0,0,0,0,0
2j4z,2/pdbbind2016_general_val_3dnn/2j4z,7.19,1,0,0,0,0,0,0,0,0,0
2jbp,2/pdbbind2016_general_val_3dnn/2jbp,8.07,1,0,0,0,0,0,0,0,0,0
2jdl,2/pdbbind2016_general_val_3dnn/2jdl,9.43,1,0,0,0,0,0,0,0,0,0
2jdy,2/pdbbind2016_general_val_3dnn/2jdy,4.37,1,0,0,0,0,0,0,0,0,0
2jko,2/pdbbind2016_general_val_3dnn/2jko,8.11,1,0,0,0,0,0,0,0,0,0
2jle,2/pdbbind2016_general_val_3dnn/2jle,6.42,1,0,0,0,0,0,0,0,0,0
2jup,2/pdbbind2016_general_val_3dnn/2jup,3.81,1,0,0,0,0,0,0,0,0,0
2k2g,2/pdbbind2016_general_val_3dnn/2k2g,8.12,1,0,0,0,0,0,0,0,0,0
2ksb,2/pdbbind2016_general_val_3dnn/2ksb,3.12,1,0,0,0,0,0,0,0,0,0
2l1r,2/pdbbind2016_general_val_3dnn/2l1r,3.57,1,0,0,0,0,0,0,0,0,0
2l6j,2/pdbbind2016_general_val_3dnn/2l6j,6.26,1,0,0,0,0,0,0,0,0,0
2lo6,2/pdbbind2016_general_val_3dnn/2lo6,3.95,1,0,0,0,0,0,0,0,0,0
2ly0,2/pdbbind2016_general_val_3dnn/2ly0,4.8,1,0,0,0,0,0,0,0,0,0
